ID,xmin,ymin,xmax,ymax
B1,42.72934864443679,58.992412265764095,43.19411104169502,59.05413298680347
B2,76.2300828056285,64.96107430919156,76.68650486579884,65.62355702046361
B3,27.59382130749398,67.46908464606581,28.48271345235857,68.20768476077282
B4,97.69493515999322,85.94908081272231,98.21405898472248,86.56470550356022
B5,20.510637523347526,2.591392796322353,21.453224172577922,3.050940493619676
B6,78.89774034846596,34.94168998750401,79.6069195920647,35.19195820107667
B7,79.49943235506004,44.99230863833095,79.65873972620577,45.13861734387051
B8,92.32062681789319,99.02946958471348,93.29496722502324,99.3173786663766
B9,65.973814187466,37.89742460792359,66.54101546291089,38.81756811336071
B10,91.54178892670464,72.53465592245841,92.51168254854042,73.43881721486447
B11,46.12871657611442,47.16260722812415,46.33195063795213,47.510303783003195
B12,77.28074845020834,92.94710279716863,77.83264440680871,93.80787866863173
B13,40.41423695988664,41.21951094723566,41.38301554729244,41.9714604467777
B14,66.40750695064871,96.28501083654649,67.20261476714462,97.27432563853861
B15,93.27276420971397,7.2688045389243605,93.72760262188477,8.055853488931259
B16,44.37979341469189,97.27895064331287,45.05807714114053,97.71910498313449
B17,20.006714679421982,56.42031443845456,20.07908936109553,56.88767520790719
B18,80.33368511931015,26.234722727855008,80.3829418106751,27.061380808167012
B19,27.001420838108814,99.2151497480419,27.19989023010375,99.69126508254251
B20,42.920737694566,2.1995832063156286,43.43086796009935,3.0163137522175805
B21,57.21708336228892,90.80244283452589,57.74598929086598,90.89899096188678
B22,52.82372237385695,51.74120639223569,53.08847714009877,52.08992999002733
B23,37.8737834917319,29.408254522517915,38.45012623318207,29.91635691273098
B24,76.09722465570292,90.57752960800697,76.8066471985925,90.8231358899744
B25,11.941390852046283,90.8144413177292,12.935857393351512,90.96828339014787
B26,16.071714822176148,1.1737087835638065,16.951773808711593,1.386927412815297
B27,74.58238611421554,70.26061939908614,75.40867655572522,70.55148024230274
B28,60.269302161648376,29.301108427195842,61.14263820120997,29.878991381377066
B29,2.6883156134342028,69.15015452815341,2.9431184466233753,69.43014183258963
B30,23.540902066216205,61.005988532744375,23.87959843214107,61.05339137414092
B31,50.33040032730458,17.101382089097395,50.34625740120667,17.176473302345652
B32,28.430237170524627,98.80255800703885,29.163115046293722,99.01789173119785
B33,50.663851888649596,87.60043954309354,51.596660784516914,88.33326958187679
B34,87.90835886672126,54.18151900674832,88.15592779749298,54.31332287314481
B35,64.49707037815905,70.42357185812895,65.43387032670883,70.65604785701215
B36,38.61202821361238,2.8552488568710803,38.95506455386401,2.9556759220638824
B37,37.17276880002045,95.28618218231853,37.68241641634827,95.44460575039402
B38,90.06348608396087,0.3177820834584194,90.25507711315686,0.7402551139941831
B39,18.32553555029052,34.97157734205172,18.926772842729,35.94829668852672
B40,30.87980420973457,9.099525622628432,31.030238344401308,9.482596675309452
B41,44.45609110144463,75.79305193078055,45.44722802423187,76.17298858306914
B42,85.24276863528252,84.24408403332599,85.56053139347401,84.90624631186435
